Date,Short Volume,Total Volume
2017-05-11,28233.0,50924.0
2017-05-10,32388.0,53883.0
2017-05-09,53454.0,91669.0
2017-05-08,58858.0,93444.0
2017-05-05,52520.0,89332.0
2017-05-04,63748.0,82513.0
2017-05-03,59777.0,98038.0
2017-05-02,68698.0,120467.0
2017-05-01,64179.0,112808.0
2017-04-28,181639.0,253218.0
2017-04-27,54445.0,133906.0
2017-04-26,36593.0,76595.0
2017-04-25,58596.0,109706.0
2017-04-24,38862.0,89959.0
2017-04-21,44216.0,85275.0
2017-04-20,52765.0,91175.0
2017-04-19,44239.0,88279.0
2017-04-18,39335.0,62538.0
2017-04-17,40377.0,78027.0
2017-04-13,57345.0,86879.0
2017-04-12,25309.0,55967.0
2017-04-11,34549.0,72840.0
2017-04-10,28442.0,49618.0
2017-04-07,40606.0,80416.0
2017-04-06,49418.0,97402.0
2017-04-05,61479.0,126044.0
2017-04-04,37236.0,72642.0
2017-04-03,64287.0,112922.0
2017-03-31,46545.0,80320.0
2017-03-30,34060.0,69523.0
2017-03-29,52101.0,89125.0
2017-03-28,62087.0,120312.0
2017-03-27,69977.0,125074.0
2017-03-24,80723.0,156182.0
2017-03-23,109101.0,210510.0
2017-03-22,64648.0,110580.0
2017-03-21,86168.0,174985.0
2017-03-20,43397.0,81086.0
2017-03-17,52880.0,70433.0
2017-03-16,53330.0,86344.0
2017-03-15,50666.0,86735.0
2017-03-14,40041.0,65544.0
2017-03-13,25533.0,54728.0
2017-03-10,53557.0,98278.0
2017-03-09,42633.0,102645.0
2017-03-08,39203.0,75186.0
2017-03-07,38575.0,77391.0
2017-03-06,34221.0,62404.0
2017-03-03,51293.0,84035.0
2017-03-02,49517.0,85055.0
2017-03-01,51209.0,108569.0
2017-02-28,42960.0,77209.0
2017-02-27,38432.0,71996.0
2017-02-24,63357.0,118671.0
2017-02-23,48578.0,93991.0
2017-02-22,52786.0,102561.0
2017-02-21,33847.0,74679.0
2017-02-17,77112.0,111692.0
2017-02-16,35334.0,67999.0
2017-02-15,51154.0,107104.0
2017-02-14,33360.0,64336.0
2017-02-13,37946.0,76636.0
2017-02-10,66228.0,112709.0
2017-02-09,50824.0,85484.0
2017-02-08,48371.0,83640.0
2017-02-07,48012.0,96412.0
2017-02-06,44079.0,85004.0
2017-02-03,60828.0,106027.0
